Search results from the CABI Invasive Species Compendium Advanced Datasheet Search 8/8/2021.,,,,,,,,,,,
"Search summary - (distribution:""6252001"" OR distribution:""4482348"") AND (type:""Full"") AND (group:""Plants"") AND (riskLikelihoods:""riskDifficultOrCostlyToControl"")",,,,,,,,,,,
"Citation:  CABI, 2021. Invasive Species Compendium. Wallingford, UK: CAB International. www.cabi.org/isc.",,,,,,,,,,,
"Search URL: https://www.cabi.org/isc/AdvancedSearch/#(distribution:""@@6252001"" OR distribution:""@@4482348"") AND (type:""Full"") AND (group:""Plants"") AND (riskLikelihoods:""riskDifficultOrCostlyToControl"")",,,,,,,,,,,
For terms and conditions see: https://www.cabi.org/terms-and-conditions/,,,,,,,,,,,
Preferred scientific name, International common name, ISC content, Plant pest, Taxonomic group, Domain, Kingdon, Phylum, Class, Order, Family, Datasheet URL
Abutilon theophrasti, velvet leaf, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Malvales, Malvaceae, https://www.cabi.org/isc/datasheet/1987
Acacia cyclops, coastal wattle, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2197
Acacia dealbata, acacia bernier, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2207
Acacia farnesiana, huisache, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2236
Acacia longifolia, golden wattle, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2312
Acacia mearnsii, black wattle, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2326
Acacia melanoxylon, Australian blackwood, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2329
Acacia nilotica, gum arabic tree, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2342
Acanthophora spicifera, , Full, No, Plants, Eukaryota, Plantae, Rhodophyta, Rhodophyceae, Ceramiales, Rhodomelaceae, https://www.cabi.org/isc/datasheet/107763
Acer platanoides, Norway maple, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Sapindales, Aceraceae, https://www.cabi.org/isc/datasheet/2883
