Search results from the CABI Invasive Species Compendium Advanced Datasheet Search 8/8/2021.,,,,,,,,,,,
"Search summary - (distribution:""6252001"" OR distribution:""4482348"") AND (type:""Full"") AND (group:""Plants"") AND (riskLikelihoods:""riskHighlyLikelyToBeTransportedInternationallyAccidentally"")",,,,,,,,,,,
"Citation:  CABI, 2021. Invasive Species Compendium. Wallingford, UK: CAB International. www.cabi.org/isc.",,,,,,,,,,,
"Search URL: https://www.cabi.org/isc/AdvancedSearch/#(distribution:""@@6252001"" OR distribution:""@@4482348"") AND (type:""Full"") AND (group:""Plants"") AND (riskLikelihoods:""riskHighlyLikelyToBeTransportedInternationallyAccidentally"")",,,,,,,,,,,
For terms and conditions see: https://www.cabi.org/terms-and-conditions/,,,,,,,,,,,
Preferred scientific name, International common name, ISC content, Plant pest, Taxonomic group, Domain, Kingdon, Phylum, Class, Order, Family, Datasheet URL
Abutilon theophrasti, velvet leaf, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Malvales, Malvaceae, https://www.cabi.org/isc/datasheet/1987
Acanthophora spicifera, , Full, No, Plants, Eukaryota, Plantae, Rhodophyta, Rhodophyceae, Ceramiales, Rhodomelaceae, https://www.cabi.org/isc/datasheet/107763
Acanthospermum australe, spiny-bur, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/118957
Acanthospermum hispidum, bristly starbur, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/2465
Achyranthes aspera, devil's horsewhip, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Amaranthaceae, https://www.cabi.org/isc/datasheet/2664
Adiantum hispidulum, rosy maidenhair fern, Full, No, Plants, Eukaryota, Plantae, Pteridophyta, Filicopsida, Polypodiales, Pteridaceae, https://www.cabi.org/isc/datasheet/3236
Aegilops cylindrica, , Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Cyperales, Poaceae, https://www.cabi.org/isc/datasheet/108330
Agave sisalana, sisal hemp, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Liliales, Agavaceae, https://www.cabi.org/isc/datasheet/3855
Ageratina adenophora, Croftonweed, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/23243
Ageratum conyzoides, billy goat weed, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/3572
