Search results from the CABI Invasive Species Compendium Advanced Datasheet Search 8/8/2021.
Search summary - (distribution:"6252001" OR distribution:"4482348") AND (type:"Full") AND (group:"Plants") AND (riskLikelihoods:"riskHighlyLikelyToBeTransportedInternationallyDeliberately")
"Citation:  CABI, 2021. Invasive Species Compendium. Wallingford, UK: CAB International. www.cabi.org/isc."
Search URL: https://www.cabi.org/isc/AdvancedSearch/#(distribution:"@@6252001" OR distribution:"@@4482348") AND (type:"Full") AND (group:"Plants") AND (riskLikelihoods:"riskHighlyLikelyToBeTransportedInternationallyDeliberately")
For terms and conditions see: https://www.cabi.org/terms-and-conditions/
Limiting returned results to 500 from of a total of 697.
Preferred scientific name, International common name, ISC content, Plant pest, Taxonomic group, Domain, Kingdon, Phylum, Class, Order, Family, Datasheet URL
Abelmoschus moschatus, musk mallow, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Malvales, Malvaceae, https://www.cabi.org/isc/datasheet/1951
Abrus precatorius, rosary pea, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/1965
Abutilon grandifolium, hairy Indian mallow, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Malvales, Malvaceae, https://www.cabi.org/isc/datasheet/111972
Abutilon hirtum, Indian mallow, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Malvales, Malvaceae, https://www.cabi.org/isc/datasheet/119788
Abutilon theophrasti, velvet leaf, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Malvales, Malvaceae, https://www.cabi.org/isc/datasheet/1987
Acacia angustissima, prairie acacia, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2148
Acacia auriculiformis, northern black wattle, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2157
Acacia crassicarpa, northern wattle, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2192
Acacia cyclops, coastal wattle, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2197
Acacia dealbata, acacia bernier, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2207
Acacia decurrens, green wattle, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2208
Acacia farnesiana, huisache, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2236
Acacia longifolia, golden wattle, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2312
Acacia mearnsii, black wattle, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2326
Acacia melanoxylon, Australian blackwood, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2329
Acacia nilotica, gum arabic tree, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2342
Acacia saligna, Port Jackson wattle, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2402
Acer negundo, box elder, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Sapindales, Aceraceae, https://www.cabi.org/isc/datasheet/2862
Acer platanoides, Norway maple, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Sapindales, Aceraceae, https://www.cabi.org/isc/datasheet/2883
Acer pseudoplatanus, sycamore, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Sapindales, Aceraceae, https://www.cabi.org/isc/datasheet/2884
Acer rufinerve, grey snake-bark maple, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Sapindales, Aceraceae, https://www.cabi.org/isc/datasheet/2889
Achillea millefolium, yarrow, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/2636
Achyranthes aspera, devil's horsewhip, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Amaranthaceae, https://www.cabi.org/isc/datasheet/2664
Adenanthera pavonina, red-bead tree, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/3209
Adiantum hispidulum, rosy maidenhair fern, Full, No, Plants, Eukaryota, Plantae, Pteridophyta, Filicopsida, Polypodiales, Pteridaceae, https://www.cabi.org/isc/datasheet/3236
Adiantum raddianum, delta maidenhair fern, Full, No, Plants, Eukaryota, Plantae, Pteridophyta, Filicopsida, Polypodiales, Pteridaceae, https://www.cabi.org/isc/datasheet/3237
Adonidia merrillii, Christmas palm, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Arecales, Arecaceae, https://www.cabi.org/isc/datasheet/56193
Aeschynomene americana, shyleaf, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/3445
Agave americana, century plant, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Liliales, Agavaceae, https://www.cabi.org/isc/datasheet/3851
Agave sisalana, sisal hemp, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Liliales, Agavaceae, https://www.cabi.org/isc/datasheet/3855
Agave vivipara, Caribbean agave, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Liliales, Agavaceae, https://www.cabi.org/isc/datasheet/119789
Ageratum conyzoides, billy goat weed, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/3572
Ageratum houstonianum, Blue billygoatweed, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/3573
Agropyron cristatum, crested wheatgrass, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Cyperales, Poaceae, https://www.cabi.org/isc/datasheet/3723
Agrostis capillaris, common bent, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Cyperales, Poaceae, https://www.cabi.org/isc/datasheet/3830
Ailanthus altissima, tree-of-heaven, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Rutales, Simaroubaceae, https://www.cabi.org/isc/datasheet/3889
Akebia quinata, five-leaf akebia, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Ranunculales, Lardizabalaceae, https://www.cabi.org/isc/datasheet/3933
Albizia chinensis, Chinese albizia, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/3991
Albizia julibrissin, silk tree, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/4005
Albizia lebbeck, Indian siris, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/4008
Albizia niopoides, silk tree, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/4014
Albizia procera, white siris, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/4021
Aleurites moluccanus, candlenut tree, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Euphorbiales, Euphorbiaceae, https://www.cabi.org/isc/datasheet/4124
Allamanda blanchetii, purple allamanda, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Gentianales, Apocynaceae, https://www.cabi.org/isc/datasheet/25980468
Allamanda cathartica, yellow allamanda, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Gentianales, Apocynaceae, https://www.cabi.org/isc/datasheet/4098
Alliaria petiolata, garlic mustard, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Capparidales, Brassicaceae, https://www.cabi.org/isc/datasheet/3941
Alnus glutinosa, European alder, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fagales, Betulaceae, https://www.cabi.org/isc/datasheet/4574
Alocasia cucullata, Chinese taro, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Arales, Araceae, https://www.cabi.org/isc/datasheet/37019438
Alocasia macrorrhizos, giant taro, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Arales, Araceae, https://www.cabi.org/isc/datasheet/4220
Aloe vera, true aloe, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Liliales, Aloaceae, https://www.cabi.org/isc/datasheet/4192
Alopecurus pratensis, meadow foxtail, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Cyperales, Poaceae, https://www.cabi.org/isc/datasheet/4361
Aloysia citrodora, lemon verbena, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Lamiales, Verbenaceae, https://www.cabi.org/isc/datasheet/112152
Alpinia purpurata, red ginger, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Zingiberales, Zingiberaceae, https://www.cabi.org/isc/datasheet/4377
Alpinia zerumbet, shell ginger, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Zingiberales, Zingiberaceae, https://www.cabi.org/isc/datasheet/109799
Alternanthera philoxeroides, alligator weed, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Amaranthaceae, https://www.cabi.org/isc/datasheet/4403
Alternanthera sessilis, sessile joyweed, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Amaranthaceae, https://www.cabi.org/isc/datasheet/4404
Alysicarpus vaginalis, alyce clover, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/8097
Amaranthus cruentus, red amaranth, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Amaranthaceae, https://www.cabi.org/isc/datasheet/4645
Amaranthus dubius, spleen amaranth, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Amaranthaceae, https://www.cabi.org/isc/datasheet/4646
Ambrosia artemisiifolia, common ragweed, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/4691
Amelanchier lamarckii, snowy mespilus, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Rosales, Rosaceae, https://www.cabi.org/isc/datasheet/4831
Amelanchier spicata, dwarf serviceberry, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Rosales, Rosaceae, https://www.cabi.org/isc/datasheet/4836
Ammophila arenaria, marram grass, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Cyperales, Poaceae, https://www.cabi.org/isc/datasheet/4898
Amorpha fruticosa, false indigo-bush, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/5001
Ampelopsis arborea, peppervine, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Rhamnales, Vitaceae, https://www.cabi.org/isc/datasheet/4814
Andropogon glomeratus, bushy bluestem, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Cyperales, Poaceae, https://www.cabi.org/isc/datasheet/118977
Anethum graveolens, dill, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Apiales, Apiaceae, https://www.cabi.org/isc/datasheet/3472
Angiopteris evecta, king fern, Full, No, Plants, Eukaryota, Plantae, Pteridophyta, , , Marattiaceae, https://www.cabi.org/isc/datasheet/22973091
Annona cherimola, cherimoya, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Annonales, Annonaceae, https://www.cabi.org/isc/datasheet/5806
Annona glabra, pond apple, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Annonales, Annonaceae, https://www.cabi.org/isc/datasheet/5811
Annona muricata, soursop, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Annonales, Annonaceae, https://www.cabi.org/isc/datasheet/5812
Annona reticulata, bullock's heart, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Annonales, Annonaceae, https://www.cabi.org/isc/datasheet/5816
Annona squamosa, sugar apple, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Annonales, Annonaceae, https://www.cabi.org/isc/datasheet/5820
Anredera cordifolia, Madeira vine, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Basellaceae, https://www.cabi.org/isc/datasheet/112290
Antigonon leptopus, coral vine, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Polygonales, Polygonaceae, https://www.cabi.org/isc/datasheet/112316
Ardisia crenata, coral berry, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Primulales, Primulaceae, https://www.cabi.org/isc/datasheet/119055
Ardisia elliptica, shoebutton ardisia, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Primulales, Primulaceae, https://www.cabi.org/isc/datasheet/108066
Ardisia humilis, low shoebutton, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Primulales, Primulaceae, https://www.cabi.org/isc/datasheet/83558368
Argemone mexicana, Mexican poppy, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Papaverales, Papaveraceae, https://www.cabi.org/isc/datasheet/6878
Aristolochia elegans, elegant Dutchman’s pipe, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Aristolochiales, Aristolochiaceae, https://www.cabi.org/isc/datasheet/120156
Aristolochia ringens, Dutchman’s pipe, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Aristolochiales, Aristolochiaceae, https://www.cabi.org/isc/datasheet/119795
Aronia x prunifolia, , Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Rosales, Rosaceae, https://www.cabi.org/isc/datasheet/108963
Arrhenatherum elatius, false oat-grass, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Cyperales, Poaceae, https://www.cabi.org/isc/datasheet/7065
Artocarpus altilis, breadfruit, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Urticales, Moraceae, https://www.cabi.org/isc/datasheet/1822
Arundo donax, giant reed, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Cyperales, Poaceae, https://www.cabi.org/isc/datasheet/1940
Asclepias curassavica, bloodflower, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Gentianales, Asclepiadaceae, https://www.cabi.org/isc/datasheet/7248
Asparagus asparagoides, bridal creeper, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Liliales, Liliaceae, https://www.cabi.org/isc/datasheet/8139
Asparagus densiflorus, asparagus fern, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Liliales, Liliaceae, https://www.cabi.org/isc/datasheet/7410
Asparagus falcatus, sicklethorn, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Liliales, Liliaceae, https://www.cabi.org/isc/datasheet/66024954
Asparagus setaceus, asparagus fern, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Liliales, Liliaceae, https://www.cabi.org/isc/datasheet/7409
Asystasia gangetica, chinese violet, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Scrophulariales, Acanthaceae, https://www.cabi.org/isc/datasheet/7641
Atriplex semibaccata, Australian saltbush, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Chenopodiaceae, https://www.cabi.org/isc/datasheet/7903
Avena sterilis, winter wild oat, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Cyperales, Poaceae, https://www.cabi.org/isc/datasheet/8062
Averrhoa bilimbi, bilimbi, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Geraniales, Oxalidaceae, https://www.cabi.org/isc/datasheet/8081
Axonopus fissifolius, , Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Cyperales, Poaceae, https://www.cabi.org/isc/datasheet/112632
Azadirachta indica, neem tree, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Rutales, Meliaceae, https://www.cabi.org/isc/datasheet/8112
Azolla filiculoides, water fern, Full, No, Plants, Eukaryota, Plantae, Pteridophyta, Filicopsida, , Azollaceae, https://www.cabi.org/isc/datasheet/8119
Baccharis halimifolia, groundsel-bush, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/8164
