,Index,Preferred_scientific_name,International_common_name,ISC_content,Plant_pest,_5,Domain,Kingdon,Phylum,Class,Order,Family,Datasheet_URL,native,introduced,invasive,present
0,0,Caulerpa taxifolia, killer algae, Full, No, Plants, Eukaryota, Plantae, Chlorophyta, Bryopsidophyceae, Bryopsidales, Caulerpaceae, https://www.cabi.org/isc/datasheet/29292,"['Cabo Verde', ""Côte d'Ivoire"", 'Equatorial Guinea', 'Gabon', 'Gambia', 'Ghana', 'Kenya', 'Madagascar', 'Mauritania', 'Mauritius', 'São Tomé and Príncipe', 'Senegal', 'Seychelles', 'Bangladesh', 'China', 'India', '-Andaman and Nicobar Islands', 'Indonesia', 'Japan', 'Malaysia', '-Sarawak', 'Maldives', 'Pakistan', 'Philippines', 'Saudi Arabia', 'Singapore', 'Sri Lanka', 'Thailand', 'Vietnam', 'Yemen', 'Barbados', 'Cuba', 'Puerto Rico', 'Trinidad and Tobago', 'U.S. Virgin Islands', '-Hawaii', '-Northern Territory', '-Queensland', '-Western Australia', 'Federated States of Micronesia', 'Fiji', 'French Polynesia', 'New Caledonia', 'Papua New Guinea', 'Atlantic - Eastern Central', 'Atlantic - Western Central', 'Indian Ocean - Eastern', 'Indian Ocean - Western', 'Pacific - Western Central']","['Tanzania', 'Tunisia', 'Croatia', 'France', 'Italy', 'Monaco', 'Spain', '-Balearic Islands', '-Canary Islands', '-California', '-New South Wales', '-South Australia', 'Mediterranean and Black Sea', 'Pacific - Eastern Central']",[],"['Cabo Verde', ""Côte d'Ivoire"", 'Equatorial Guinea', 'Gabon', 'Gambia', 'Ghana', 'Kenya', 'Madagascar', 'Mauritania', 'Mauritius', 'São Tomé and Príncipe', 'Senegal', 'Seychelles', 'Tanzania', 'Tunisia', 'Bangladesh', 'China', 'India', '-Andaman and Nicobar Islands', 'Indonesia', 'Japan', 'Malaysia', '-Sarawak', 'Maldives', 'Pakistan', 'Philippines', 'Saudi Arabia', 'Singapore', 'Sri Lanka', 'Thailand', 'Vietnam', 'Yemen', 'Croatia', 'France', 'Italy', 'Monaco', 'Spain', '-Balearic Islands', '-Canary Islands', 'Barbados', 'Belize', 'Bermuda', 'Cuba', 'Jamaica', 'Mexico', 'Netherlands Antilles', 'Panama', 'Puerto Rico', 'Trinidad and Tobago', 'U.S. Virgin Islands', 'United States', '-California', '-Hawaii', 'American Samoa', 'Australia', '-Lord Howe Island', '-New South Wales', '-Northern Territory', '-Queensland', '-South Australia', '-Western Australia', 'Federated States of Micronesia', 'Fiji', 'French Polynesia', 'New Caledonia', 'Papua New Guinea', 'Atlantic - Eastern Central', 'Atlantic - Western Central', 'Indian Ocean - Eastern', 'Indian Ocean - Western', 'Mediterranean and Black Sea', 'Pacific - Eastern Central', 'Pacific - Western Central', 'Colombia', 'Venezuela']"
1,1,Codium fragile subsp. tomentosoides, , Full, No, Plants, Eukaryota, Plantae, Chlorophyta, Bryopsidophyceae, Bryopsidales, Codiaceae, https://www.cabi.org/isc/datasheet/107769,"['-Hokkaido', '-Honshu', 'South Korea', 'Pacific - Northwest']","['Algeria', 'South Africa', 'Tunisia', 'Turkey', 'Denmark', 'France', 'Greece', 'Ireland', 'Italy', 'Netherlands', 'Norway', 'Portugal', 'Slovenia', 'Spain', 'Sweden', 'United Kingdom', '-New Brunswick', '-Nova Scotia', '-Prince Edward Island', '-California', '-Connecticut', '-Delaware', '-Maine', '-Massachusetts', '-New Hampshire', '-New Jersey', '-New York', '-North Carolina', '-Rhode Island', '-Virginia', '-New South Wales', '-South Australia', '-Tasmania', '-Victoria', '-Western Australia', 'New Zealand', 'Atlantic - Northeast', 'Atlantic - Northwest', 'Atlantic - Southeast', 'Atlantic - Western Central', 'Indian Ocean - Eastern', 'Mediterranean and Black Sea', 'Pacific - Eastern Central', 'Pacific - Southeast', 'Pacific - Southwest', 'Chile']",[],"['Algeria', 'South Africa', 'Tunisia', 'Japan', '-Hokkaido', '-Honshu', 'South Korea', 'Turkey', 'Denmark', 'France', 'Greece', 'Ireland', 'Italy', 'Netherlands', 'Norway', 'Portugal', 'Slovenia', 'Spain', 'Sweden', 'United Kingdom', 'Canada', '-New Brunswick', '-Nova Scotia', '-Prince Edward Island', 'United States', '-California', '-Connecticut', '-Delaware', '-Maine', '-Massachusetts', '-New Hampshire', '-New Jersey', '-New York', '-North Carolina', '-Rhode Island', '-Virginia', 'Australia', '-New South Wales', '-South Australia', '-Tasmania', '-Victoria', '-Western Australia', 'New Zealand', 'Atlantic - Northeast', 'Atlantic - Northwest', 'Atlantic - Southeast', 'Atlantic - Western Central', 'Indian Ocean - Eastern', 'Mediterranean and Black Sea', 'Pacific - Eastern Central', 'Pacific - Northwest', 'Pacific - Southeast', 'Pacific - Southwest', 'Chile']"
2,2,Ulva ohnoi, , Full, No, Plants, Eukaryota, Plantae, Chlorophyta, Chlorophyceae, Ulvales, Ulvaceae, https://www.cabi.org/isc/datasheet/109162,[],['Italy'],[],"['Japan', '-Honshu', '-Kyushu', '-Ryukyu Islands', '-Shikoku', 'Italy', 'United States', '-Hawaii']"
3,3,Ulva pertusa, , Full, No, Plants, Eukaryota, Plantae, Chlorophyta, Chlorophyceae, Ulvales, Ulvaceae, https://www.cabi.org/isc/datasheet/108335,"['China', '-Lesser Sunda Islands', '-Maluku Islands', '-Sulawesi', 'Japan', '-Hokkaido', '-Honshu', '-Kyushu', '-Shikoku', 'Malaysia', 'Philippines', 'Singapore', 'South Korea', 'Sri Lanka', 'Taiwan', '-Eastern Siberia', '-Russian Far East', '-South Australia', 'New Zealand', 'Indian Ocean - Eastern', 'Pacific - Northwest', 'Pacific - Southwest', 'Pacific - Western Central']","['France', 'Netherlands', 'Spain', 'Atlantic - Northeast', 'Mediterranean and Black Sea']",[],"['Kenya', 'Mauritius', 'Tanzania', 'China', 'Indonesia', '-Lesser Sunda Islands', '-Maluku Islands', '-Sulawesi', 'Japan', '-Hokkaido', '-Honshu', '-Kyushu', '-Shikoku', 'Malaysia', 'Philippines', 'Singapore', 'South Korea', 'Sri Lanka', 'Taiwan', 'Yemen', 'France', 'Netherlands', 'Russia', '-Eastern Siberia', '-Russian Far East', 'Spain', 'Mexico', 'United States', '-California', 'Australia', '-South Australia', 'New Zealand', 'Atlantic - Northeast', 'Indian Ocean - Eastern', 'Indian Ocean - Western', 'Mediterranean and Black Sea', 'Pacific - Eastern Central', 'Pacific - Northwest', 'Pacific - Southwest', 'Pacific - Western Central']"
4,4,Ulva reticulata, ribbon sea lettuce, Full, No, Plants, Eukaryota, Plantae, Chlorophyta, Chlorophyceae, Ulvales, Ulvaceae, https://www.cabi.org/isc/datasheet/117717,"['Kenya', 'Mauritius', 'Tanzania', '-Andaman and Nicobar Islands', '-Goa', '-Kerala', '-Maharashtra', '-Tamil Nadu', 'Indonesia', '-Irian Jaya', '-Java', '-Maluku Islands', 'Israel', '-Kyushu', '-Peninsular Malaysia', 'Pakistan', 'Philippines', 'Saudi Arabia', 'Singapore', 'Sri Lanka', 'Taiwan', 'Thailand', 'Vietnam', '-Hawaii', '-Queensland', 'Papua New Guinea']","['Hong Kong', 'Venezuela']",[],"['Djibouti', 'Egypt', 'Eritrea', 'Ethiopia', 'Kenya', 'Madagascar', 'Mauritius', 'Somalia', 'Tanzania', '-Zanzibar Island', 'Togo', 'Tunisia', 'Uganda', 'Western Sahara', 'Zambia', 'China', 'Hong Kong', 'India', '-Andaman and Nicobar Islands', '-Goa', '-Kerala', '-Maharashtra', '-Tamil Nadu', 'Indonesia', '-Irian Jaya', '-Java', '-Maluku Islands', 'Iran', 'Israel', 'Japan', '-Kyushu', 'Malaysia', '-Peninsular Malaysia', 'Pakistan', 'Philippines', 'Saudi Arabia', 'Singapore', 'Sri Lanka', 'Taiwan', 'Thailand', 'Vietnam', 'United States', '-Hawaii', 'Australia', '-Queensland', 'Papua New Guinea', 'Chile', 'Venezuela']"
5,5,Prymnesium parvum, golden algae, Full, No, Plants, Eukaryota, Plantae, Haptophyta, Prymnesiophyceae, , Prymnesiaceae, https://www.cabi.org/isc/datasheet/121720,[],"['Morocco', '-Ningxia', '-Shandong', '-Shanxi', '-Tianjin', '-Zhejiang', 'Israel', 'Mongolia', 'Germany', 'Greece', 'Hungary', 'Italy', 'Spain', 'Sweden', 'United Kingdom', '-Alabama', '-Arizona', '-Arkansas', '-California', '-Colorado', '-Florida', '-Georgia', '-Hawaii', '-Louisiana', '-Maine', '-Mississippi', '-Nebraska', '-New Mexico', '-North Carolina', '-Oklahoma', '-Pennsylvania', '-South Carolina', '-Texas', '-Washington', '-West Virginia', '-Wyoming', '-Western Australia']",[],"['Morocco', 'China', '-Ningxia', '-Shandong', '-Shanxi', '-Tianjin', '-Zhejiang', 'Israel', 'Mongolia', 'Palestine', 'Germany', 'Greece', 'Hungary', 'Italy', 'Netherlands', 'Norway', 'Spain', 'Sweden', 'United Kingdom', 'United States', '-Alabama', '-Arizona', '-Arkansas', '-California', '-Colorado', '-Florida', '-Georgia', '-Hawaii', '-Louisiana', '-Maine', '-Mississippi', '-Nebraska', '-New Mexico', '-North Carolina', '-Oklahoma', '-Pennsylvania', '-South Carolina', '-Texas', '-Washington', '-West Virginia', '-Wyoming', 'Australia', '-Western Australia']"
6,6,Pseudochattonella verruculosa, , Full, No, Plants, Eukaryota, Plantae, Heterokontophyta, Dictyochophyceae, Florenciellales, , https://www.cabi.org/isc/datasheet/108305,"['Japan', '-Kyushu', 'Pacific - Northwest']","['Germany', 'Netherlands', '-South Carolina', '-Virginia', 'New Zealand', 'Atlantic - Northeast', 'Atlantic - Northwest', 'Atlantic - Western Central', 'Pacific - Southwest']",[],"['Japan', '-Kyushu', 'Germany', 'Netherlands', 'United States', '-South Carolina', '-Virginia', 'New Zealand', 'Atlantic - Northeast', 'Atlantic - Northwest', 'Atlantic - Western Central', 'Pacific - Northwest', 'Pacific - Southwest']"
7,7,Sargassum muticum, wire weed, Full, No, Plants, Eukaryota, Plantae, Phaeophyta, Phaeophyceae, Fucales, Sargassaceae, https://www.cabi.org/isc/datasheet/108973,"['China', '-Shandong', 'Japan', '-Honshu', '-Kyushu', '-Shikoku', 'South Korea', 'Pacific - Northwest']","['Belgium', 'Denmark', 'France', 'Ireland', 'Italy', 'Netherlands', 'Norway', 'Portugal', 'Spain', 'Sweden', 'United Kingdom', '-Channel Islands', '-British Columbia', 'Mexico', '-Alaska', '-California', '-Washington', 'Atlantic - Northeast', 'Pacific - Northeast']",[],"['China', '-Shandong', 'Japan', '-Honshu', '-Kyushu', '-Shikoku', 'South Korea', 'Belgium', 'Denmark', 'France', 'Ireland', 'Italy', 'Netherlands', 'Norway', 'Portugal', 'Spain', 'Sweden', 'United Kingdom', '-Channel Islands', 'Canada', '-British Columbia', 'Mexico', 'United States', '-Alaska', '-California', '-Washington', 'Atlantic - Northeast', 'Pacific - Northeast', 'Pacific - Northwest']"
8,8,Undaria pinnatifida, Asian kelp, Full, No, Plants, Eukaryota, Plantae, Phaeophyta, Phaeophyceae, Laminariales, Alariaceae, https://www.cabi.org/isc/datasheet/59979,"['-Hokkaido', '-Honshu', '-Kyushu', 'Pacific - Northeast']","['China', 'North Korea', 'South Korea', 'Taiwan', 'Belgium', 'France', 'Germany', 'Ireland', 'Italy', 'Netherlands', 'Portugal', 'Spain', 'United Kingdom', 'Mexico', '-California', '-Tasmania', '-Victoria', 'New Zealand', 'Mediterranean and Black Sea', 'Argentina']",[],"['China', 'Japan', '-Hokkaido', '-Honshu', '-Kyushu', 'North Korea', 'South Korea', 'Taiwan', 'Belgium', 'France', 'Germany', 'Ireland', 'Italy', 'Netherlands', 'Portugal', 'Russia', 'Spain', 'United Kingdom', 'Mexico', 'United States', '-California', 'Australia', '-Tasmania', '-Victoria', 'New Zealand', 'Mediterranean and Black Sea', 'Pacific - Northeast', 'Argentina']"
9,9,Adiantum hispidulum, rosy maidenhair fern, Full, No, Plants, Eukaryota, Plantae, Pteridophyta, Filicopsida, Polypodiales, Pteridaceae, https://www.cabi.org/isc/datasheet/3236,"['Comoros', 'Ethiopia', 'Kenya', 'Madagascar', 'Malawi', 'Mauritius', '-Rodrigues', 'Mayotte', 'Mozambique', 'Réunion', 'South Africa', 'Tanzania', '-Java', '-Peninsular Malaysia', 'Philippines', 'Singapore', 'Sri Lanka', 'Taiwan', 'Australia', 'Cook Islands', 'Fiji', 'French Polynesia', 'New Caledonia', 'Palau', 'Solomon Islands', 'Vanuatu']","['-Connecticut', '-Florida', '-Georgia', '-Hawaii', '-Louisiana']",[],"['Comoros', 'Ethiopia', 'Kenya', 'Madagascar', 'Malawi', 'Mauritius', '-Rodrigues', 'Mayotte', 'Mozambique', 'Réunion', 'South Africa', 'Tanzania', 'Indonesia', '-Java', 'Malaysia', '-Peninsular Malaysia', 'Philippines', 'Singapore', 'Sri Lanka', 'Taiwan', 'United States', '-Connecticut', '-Florida', '-Georgia', '-Hawaii', '-Louisiana', 'Australia', 'Cook Islands', 'Fiji', 'French Polynesia', 'New Caledonia', 'Palau', 'Solomon Islands', 'Vanuatu']"
